a,b,question,answer
0,10,0+10=?,10
8,9,8+9=?,17
2,1,2+1=?,3
17,7,17+7=?,24
0,11,0+11=?,11
10,5,10+5=?,15
13,15,13+15=?,28
10,8,10+8=?,18
13,19,13+19=?,32
1,12,1+12=?,13
10,6,10+6=?,16
7,15,7+15=?,22
16,9,16+9=?,25
20,17,20+17=?,37
19,2,19+2=?,21
8,10,8+10=?,18
11,8,11+8=?,19
17,2,17+2=?,19
20,1,20+1=?,21
3,9,3+9=?,12
5,0,5+0=?,5
13,7,13+7=?,20
2,13,2+13=?,15
19,18,19+18=?,37
18,8,18+8=?,26
4,11,4+11=?,15
8,18,8+18=?,26
0,20,0+20=?,20
10,8,10+8=?,18
12,14,12+14=?,26
15,17,15+17=?,32
6,16,6+16=?,22
14,7,14+7=?,21
11,1,11+1=?,12
10,13,10+13=?,23
6,2,6+2=?,8
1,18,1+18=?,19
7,16,7+16=?,23
6,11,6+11=?,17
1,0,1+0=?,1
1,12,1+12=?,13
17,9,17+9=?,26
11,0,11+0=?,11
13,1,13+1=?,14
11,18,11+18=?,29
0,6,0+6=?,6
6,8,6+8=?,14
18,10,18+10=?,28
13,0,13+0=?,13
4,12,4+12=?,16
12,19,12+19=?,31
12,10,12+10=?,22
15,9,15+9=?,24
16,15,16+15=?,31
0,19,0+19=?,19
18,1,18+1=?,19
4,17,4+17=?,21
10,13,10+13=?,23
9,8,9+8=?,17
0,17,0+17=?,17
0,6,0+6=?,6
12,6,12+6=?,18
13,14,13+14=?,27
13,19,13+19=?,32
17,8,17+8=?,25
14,13,14+13=?,27
2,0,2+0=?,2
15,10,15+10=?,25
19,17,19+17=?,36
9,6,9+6=?,15
3,7,3+7=?,10
11,12,11+12=?,23
5,0,5+0=?,5
1,12,1+12=?,13
15,12,15+12=?,27
16,19,16+19=?,35
13,14,13+14=?,27
0,20,0+20=?,20
17,6,17+6=?,23
7,2,7+2=?,9
18,2,18+2=?,20
9,13,9+13=?,22
11,2,11+2=?,13
13,16,13+16=?,29
0,15,0+15=?,15
16,2,16+2=?,18
20,15,20+15=?,35
20,15,20+15=?,35
4,5,4+5=?,9
15,18,15+18=?,33
4,4,4+4=?,8
15,0,15+0=?,15
2,3,2+3=?,5
10,11,10+11=?,21
17,12,17+12=?,29
18,18,18+18=?,36
14,6,14+6=?,20
20,10,20+10=?,30
12,4,12+4=?,16
6,5,6+5=?,11
18,8,18+8=?,26
11,10,11+10=?,21
11,17,11+17=?,28
1,1,1+1=?,2
11,18,11+18=?,29
8,3,8+3=?,11
2,15,2+15=?,17
4,20,4+20=?,24
8,15,8+15=?,23
8,4,8+4=?,12
9,20,9+20=?,29
20,19,20+19=?,39
3,13,3+13=?,16
9,6,9+6=?,15
11,12,11+12=?,23
6,17,6+17=?,23
7,14,7+14=?,21
15,9,15+9=?,24
13,14,13+14=?,27
10,8,10+8=?,18
12,0,12+0=?,12
3,6,3+6=?,9
12,3,12+3=?,15
13,12,13+12=?,25
20,12,20+12=?,32
12,15,12+15=?,27
15,14,15+14=?,29
3,13,3+13=?,16
5,12,5+12=?,17
12,19,12+19=?,31
20,18,20+18=?,38
8,8,8+8=?,16
13,9,13+9=?,22
18,10,18+10=?,28
20,16,20+16=?,36
13,13,13+13=?,26
18,12,18+12=?,30
18,4,18+4=?,22
3,1,3+1=?,4
9,20,9+20=?,29
14,1,14+1=?,15
5,4,5+4=?,9
0,4,0+4=?,4
9,9,9+9=?,18
9,13,9+13=?,22
2,10,2+10=?,12
5,0,5+0=?,5
5,8,5+8=?,13
19,3,19+3=?,22
9,17,9+17=?,26
17,4,17+4=?,21
4,20,4+20=?,24
14,2,14+2=?,16
18,2,18+2=?,20
3,9,3+9=?,12
11,14,11+14=?,25
17,2,17+2=?,19
14,17,14+17=?,31
20,8,20+8=?,28
1,18,1+18=?,19
