a,b,question,answer
,,350 ÷ 5,70
,,792 ÷ 3,264
,,704 ÷ 8,88
,,132 ÷ 2,66
,,195 ÷ 5,39
,,338 ÷ 2,169
,,928 ÷ 2,464
,,204 ÷ 3,68
,,489 ÷ 3,163
,,926 ÷ 2,463
,,987 ÷ 3,329
,,266 ÷ 7,38
,,786 ÷ 6,131
,,755 ÷ 5,151
,,334 ÷ 2,167
,,924 ÷ 7,132
,,510 ÷ 6,85
,,246 ÷ 6,41
,,864 ÷ 8,108
,,470 ÷ 5,94
,,981 ÷ 3,327
,,256 ÷ 4,64
,,666 ÷ 2,333
,,798 ÷ 6,133
,,564 ÷ 2,282
,,612 ÷ 4,153
,,880 ÷ 4,220
,,652 ÷ 2,326
,,600 ÷ 2,300
,,330 ÷ 3,110
,,446 ÷ 2,223
,,824 ÷ 2,412
,,294 ÷ 3,98
,,984 ÷ 2,492
,,789 ÷ 3,263
,,160 ÷ 4,40
,,488 ÷ 2,244
,,392 ÷ 8,49
,,158 ÷ 2,79
,,513 ÷ 3,171
,,692 ÷ 2,346
,,175 ÷ 5,35
,,618 ÷ 6,103
,,170 ÷ 5,34
,,261 ÷ 9,29
,,726 ÷ 2,363
,,378 ÷ 6,63
,,664 ÷ 8,83
,,674 ÷ 2,337
,,658 ÷ 2,329
,,696 ÷ 4,174
,,540 ÷ 4,135
,,522 ÷ 2,261
,,906 ÷ 3,302
,,936 ÷ 9,104
,,940 ÷ 5,188
,,328 ÷ 2,164
,,775 ÷ 5,155
,,282 ÷ 6,47
,,546 ÷ 3,182
,,360 ÷ 2,180
,,472 ÷ 8,59
,,296 ÷ 8,37
,,576 ÷ 9,64
,,912 ÷ 4,228
,,774 ÷ 3,258
,,330 ÷ 5,66
,,250 ÷ 2,125
,,324 ÷ 4,81
,,873 ÷ 9,97
,,960 ÷ 6,160
,,336 ÷ 8,42
,,498 ÷ 2,249
,,588 ÷ 2,294
,,784 ÷ 8,98
,,230 ÷ 2,115
,,286 ÷ 2,143
,,435 ÷ 5,87
,,384 ÷ 8,48
,,765 ÷ 3,255
,,872 ÷ 2,436
,,736 ÷ 4,184
,,344 ÷ 4,86
,,576 ÷ 6,96
,,896 ÷ 4,224
,,204 ÷ 6,34
,,777 ÷ 7,111
,,112 ÷ 8,14
,,208 ÷ 8,26
,,824 ÷ 4,206
,,576 ÷ 8,72
,,430 ÷ 5,86
,,444 ÷ 2,222
,,600 ÷ 5,120
,,558 ÷ 2,279
,,413 ÷ 7,59
,,423 ÷ 3,141
,,860 ÷ 4,215
,,380 ÷ 2,190
,,288 ÷ 2,144
,,216 ÷ 3,72
,,930 ÷ 6,155
,,720 ÷ 5,144
,,412 ÷ 2,206
,,740 ÷ 5,148
,,260 ÷ 5,52
,,260 ÷ 2,130
,,398 ÷ 2,199
,,819 ÷ 9,91
,,370 ÷ 5,74
,,372 ÷ 4,93
,,549 ÷ 3,183
,,816 ÷ 8,102
,,378 ÷ 9,42
,,712 ÷ 2,356
,,126 ÷ 3,42
,,690 ÷ 2,345
,,384 ÷ 4,96
,,456 ÷ 8,57
,,441 ÷ 7,63
,,786 ÷ 3,262
,,810 ÷ 9,90
,,878 ÷ 2,439
,,224 ÷ 2,112
,,745 ÷ 5,149
,,418 ÷ 2,209
,,984 ÷ 3,328
,,940 ÷ 2,470
,,990 ÷ 5,198
,,990 ÷ 3,330
,,900 ÷ 6,150
,,732 ÷ 3,244
,,810 ÷ 6,135
,,432 ÷ 2,216
,,570 ÷ 6,95
,,782 ÷ 2,391
,,490 ÷ 7,70
,,816 ÷ 6,136
,,720 ÷ 9,80
,,721 ÷ 7,103
,,742 ÷ 2,371
,,192 ÷ 6,32
,,579 ÷ 3,193
,,966 ÷ 7,138
,,192 ÷ 8,24
,,114 ÷ 6,19
,,210 ÷ 5,42
,,582 ÷ 2,291
,,146 ÷ 2,73
,,340 ÷ 4,85
,,386 ÷ 2,193
,,555 ÷ 5,111
,,225 ÷ 9,25
,,905 ÷ 5,181
,,700 ÷ 5,140
,,436 ÷ 4,109
,,212 ÷ 2,106
,,234 ÷ 2,117
,,116 ÷ 4,29
,,896 ÷ 7,128
,,162 ÷ 9,18
,,201 ÷ 3,67
,,540 ÷ 9,60
,,420 ÷ 6,70
,,168 ÷ 3,56
,,951 ÷ 3,317
,,700 ÷ 7,100
,,988 ÷ 2,494
,,858 ÷ 2,429
,,504 ÷ 2,252
,,882 ÷ 6,147
,,222 ÷ 2,111
,,982 ÷ 2,491
,,546 ÷ 2,273
,,570 ÷ 3,190
,,396 ÷ 3,132
,,514 ÷ 2,257
,,432 ÷ 4,108
,,636 ÷ 3,212
,,716 ÷ 4,179
,,552 ÷ 6,92
,,562 ÷ 2,281
,,560 ÷ 5,112
,,831 ÷ 3,277
,,616 ÷ 4,154
,,140 ÷ 5,28
,,518 ÷ 7,74
,,390 ÷ 6,65
,,441 ÷ 3,147
,,932 ÷ 4,233
,,416 ÷ 4,104
,,240 ÷ 4,60
,,144 ÷ 8,18
,,955 ÷ 5,191
,,896 ÷ 8,112
,,265 ÷ 5,53
,,920 ÷ 4,230
,,153 ÷ 9,17
,,828 ÷ 3,276
,,524 ÷ 2,262
,,426 ÷ 3,142
,,959 ÷ 7,137
,,240 ÷ 2,120
,,812 ÷ 4,203
,,344 ÷ 8,43
,,291 ÷ 3,97
,,465 ÷ 3,155
,,236 ÷ 2,118
,,306 ÷ 2,153
,,910 ÷ 5,182
,,392 ÷ 7,56
,,270 ÷ 9,30
,,459 ÷ 9,51
,,176 ÷ 8,22
,,472 ÷ 4,118
,,680 ÷ 2,340
,,675 ÷ 3,225
,,189 ÷ 7,27
,,828 ÷ 4,207
,,620 ÷ 5,124
,,342 ÷ 9,38
,,126 ÷ 7,18
,,726 ÷ 3,242
,,966 ÷ 3,322
,,750 ÷ 6,125
,,228 ÷ 6,38
,,729 ÷ 3,243
,,962 ÷ 2,481
,,756 ÷ 6,126
,,732 ÷ 2,366
,,174 ÷ 2,87
,,575 ÷ 5,115
,,448 ÷ 4,112
,,420 ÷ 7,60
,,508 ÷ 4,127
,,627 ÷ 3,209
,,984 ÷ 8,123
,,711 ÷ 9,79
,,392 ÷ 2,196
,,474 ÷ 2,237
,,510 ÷ 2,255
,,945 ÷ 3,315
,,231 ÷ 3,77
,,612 ÷ 2,306
,,252 ÷ 4,63
,,707 ÷ 7,101
,,586 ÷ 2,293
,,838 ÷ 2,419
,,132 ÷ 3,44
,,528 ÷ 4,132
,,792 ÷ 6,132
,,330 ÷ 6,55
,,504 ÷ 7,72
,,240 ÷ 3,80
,,730 ÷ 5,146
,,348 ÷ 2,174
,,785 ÷ 5,157
,,153 ÷ 3,51
,,681 ÷ 3,227
,,588 ÷ 7,84
,,354 ÷ 2,177
,,696 ÷ 2,348
,,875 ÷ 5,175
,,880 ÷ 5,176
,,564 ÷ 4,141
,,840 ÷ 2,420
,,936 ÷ 2,468
,,654 ÷ 2,327
,,132 ÷ 6,22
,,845 ÷ 5,169
,,954 ÷ 2,477
,,874 ÷ 2,437
,,405 ÷ 9,45
,,996 ÷ 3,332
,,708 ÷ 2,354
,,350 ÷ 2,175
,,342 ÷ 6,57
,,288 ÷ 9,32
,,438 ÷ 3,146
,,560 ÷ 7,80
,,486 ÷ 2,243
,,590 ÷ 5,118
,,410 ÷ 2,205
,,864 ÷ 9,96
,,665 ÷ 7,95
,,894 ÷ 6,149
,,468 ÷ 9,52
,,308 ÷ 7,44
,,837 ÷ 9,93
,,636 ÷ 2,318
,,882 ÷ 2,441
,,482 ÷ 2,241
,,116 ÷ 2,58
,,112 ÷ 2,56
,,642 ÷ 6,107
,,648 ÷ 6,108
,,636 ÷ 4,159
,,488 ÷ 8,61
,,640 ÷ 2,320
,,335 ÷ 5,67
