a,b,question,answer
158,39,158+39=?,197
47,70,47+70=?,117
178,14,178+14=?,192
147,168,147+168=?,315
66,22,66+22=?,88
177,109,177+109=?,286
138,122,138+122=?,260
80,155,80+155=?,235
155,135,155+135=?,290
122,90,122+90=?,212
26,110,26+110=?,136
191,80,191+80=?,271
165,45,165+45=?,210
146,54,146+54=?,200
173,170,173+170=?,343
13,74,13+74=?,87
163,130,163+130=?,293
170,92,170+92=?,262
158,15,158+15=?,173
129,87,129+87=?,216
64,90,64+90=?,154
123,44,123+44=?,167
45,80,45+80=?,125
125,83,125+83=?,208
65,116,65+116=?,181
148,149,148+149=?,297
131,75,131+75=?,206
113,126,113+126=?,239
115,45,115+45=?,160
40,12,40+12=?,52
93,100,93+100=?,193
105,184,105+184=?,289
64,117,64+117=?,181
145,55,145+55=?,200
165,100,165+100=?,265
126,143,126+143=?,269
17,33,17+33=?,50
199,19,199+19=?,218
173,88,173+88=?,261
187,42,187+42=?,229
15,196,15+196=?,211
11,60,11+60=?,71
147,174,147+174=?,321
158,163,158+163=?,321
80,129,80+129=?,209
92,20,92+20=?,112
192,85,192+85=?,277
157,129,157+129=?,286
39,111,39+111=?,150
162,199,162+199=?,361
124,89,124+89=?,213
11,190,11+190=?,201
116,76,116+76=?,192
95,64,95+64=?,159
177,164,177+164=?,341
13,64,13+64=?,77
15,144,15+144=?,159
77,158,77+158=?,235
158,151,158+151=?,309
114,22,114+22=?,136
151,107,151+107=?,258
176,109,176+109=?,285
119,143,119+143=?,262
73,154,73+154=?,227
40,69,40+69=?,109
55,107,55+107=?,162
106,197,106+197=?,303
99,174,99+174=?,273
136,73,136+73=?,209
156,28,156+28=?,184
153,14,153+14=?,167
70,131,70+131=?,201
49,26,49+26=?,75
119,70,119+70=?,189
178,37,178+37=?,215
38,103,38+103=?,141
151,134,151+134=?,285
64,155,64+155=?,219
110,164,110+164=?,274
198,164,198+164=?,362
191,62,191+62=?,253
29,69,29+69=?,98
164,37,164+37=?,201
37,25,37+25=?,62
97,68,97+68=?,165
198,169,198+169=?,367
33,48,33+48=?,81
142,198,142+198=?,340
85,120,85+120=?,205
44,183,44+183=?,227
29,95,29+95=?,124
17,184,17+184=?,201
164,92,164+92=?,256
61,65,61+65=?,126
83,94,83+94=?,177
125,24,125+24=?,149
34,77,34+77=?,111
45,181,45+181=?,226
33,55,33+55=?,88
76,170,76+170=?,246
143,25,143+25=?,168
146,174,146+174=?,320
91,119,91+119=?,210
108,35,108+35=?,143
53,20,53+20=?,73
153,79,153+79=?,232
80,129,80+129=?,209
77,115,77+115=?,192
52,79,52+79=?,131
142,25,142+25=?,167
108,101,108+101=?,209
140,198,140+198=?,338
123,33,123+33=?,156
75,46,75+46=?,121
152,64,152+64=?,216
118,158,118+158=?,276
42,37,42+37=?,79
83,89,83+89=?,172
102,34,102+34=?,136
143,55,143+55=?,198
103,97,103+97=?,200
74,84,74+84=?,158
113,100,113+100=?,213
127,107,127+107=?,234
94,82,94+82=?,176
58,185,58+185=?,243
134,17,134+17=?,151
100,56,100+56=?,156
180,90,180+90=?,270
176,40,176+40=?,216
162,162,162+162=?,324
23,131,23+131=?,154
55,44,55+44=?,99
199,101,199+101=?,300
35,117,35+117=?,152
61,170,61+170=?,231
139,183,139+183=?,322
87,97,87+97=?,184
57,96,57+96=?,153
130,116,130+116=?,246
35,170,35+170=?,205
95,108,95+108=?,203
85,109,85+109=?,194
14,124,14+124=?,138
70,165,70+165=?,235
137,10,137+10=?,147
36,50,36+50=?,86
63,49,63+49=?,112
52,166,52+166=?,218
80,166,80+166=?,246
38,193,38+193=?,231
105,141,105+141=?,246
121,75,121+75=?,196
163,51,163+51=?,214
153,146,153+146=?,299
69,54,69+54=?,123
193,135,193+135=?,328
115,104,115+104=?,219
149,81,149+81=?,230
63,15,63+15=?,78
40,187,40+187=?,227
173,189,173+189=?,362
182,46,182+46=?,228
29,120,29+120=?,149
170,111,170+111=?,281
156,136,156+136=?,292
120,124,120+124=?,244
76,38,76+38=?,114
191,25,191+25=?,216
175,12,175+12=?,187
104,43,104+43=?,147
167,133,167+133=?,300
98,68,98+68=?,166
174,45,174+45=?,219
135,69,135+69=?,204
34,56,34+56=?,90
73,110,73+110=?,183
190,147,190+147=?,337
65,123,65+123=?,188
79,125,79+125=?,204
31,42,31+42=?,73
13,87,13+87=?,100
113,192,113+192=?,305
126,75,126+75=?,201
129,89,129+89=?,218
61,85,61+85=?,146
76,176,76+176=?,252
22,37,22+37=?,59
117,58,117+58=?,175
25,175,25+175=?,200
168,193,168+193=?,361
28,89,28+89=?,117
77,76,77+76=?,153
25,27,25+27=?,52
138,94,138+94=?,232
137,31,137+31=?,168
29,184,29+184=?,213
47,28,47+28=?,75
99,34,99+34=?,133
65,91,65+91=?,156
193,189,193+189=?,382
170,34,170+34=?,204
92,137,92+137=?,229
45,96,45+96=?,141
133,34,133+34=?,167
175,172,175+172=?,347
36,93,36+93=?,129
136,62,136+62=?,198
105,80,105+80=?,185
72,189,72+189=?,261
50,98,50+98=?,148
137,143,137+143=?,280
128,66,128+66=?,194
113,76,113+76=?,189
87,168,87+168=?,255
41,177,41+177=?,218
136,65,136+65=?,201
140,116,140+116=?,256
32,184,32+184=?,216
30,181,30+181=?,211
27,106,27+106=?,133
118,170,118+170=?,288
102,11,102+11=?,113
188,120,188+120=?,308
49,187,49+187=?,236
81,65,81+65=?,146
18,134,18+134=?,152
10,15,10+15=?,25
90,29,90+29=?,119
87,92,87+92=?,179
122,23,122+23=?,145
94,27,94+27=?,121
60,191,60+191=?,251
150,87,150+87=?,237
97,22,97+22=?,119
153,126,153+126=?,279
146,74,146+74=?,220
189,26,189+26=?,215
147,49,147+49=?,196
100,52,100+52=?,152
23,173,23+173=?,196
115,131,115+131=?,246
19,135,19+135=?,154
10,150,10+150=?,160
152,35,152+35=?,187
70,52,70+52=?,122
109,141,109+141=?,250
102,143,102+143=?,245
131,51,131+51=?,182
17,27,17+27=?,44
102,99,102+99=?,201
132,93,132+93=?,225
63,54,63+54=?,117
20,28,20+28=?,48
100,75,100+75=?,175
159,29,159+29=?,188
61,175,61+175=?,236
90,140,90+140=?,230
42,190,42+190=?,232
17,131,17+131=?,148
156,64,156+64=?,220
43,39,43+39=?,82
177,159,177+159=?,336
173,100,173+100=?,273
58,185,58+185=?,243
19,160,19+160=?,179
33,31,33+31=?,64
171,162,171+162=?,333
180,83,180+83=?,263
141,147,141+147=?,288
80,64,80+64=?,144
116,170,116+170=?,286
135,34,135+34=?,169
20,121,20+121=?,141
180,51,180+51=?,231
193,128,193+128=?,321
106,153,106+153=?,259
164,24,164+24=?,188
145,126,145+126=?,271
107,197,107+197=?,304
121,20,121+20=?,141
159,34,159+34=?,193
112,88,112+88=?,200
178,156,178+156=?,334
61,66,61+66=?,127
162,162,162+162=?,324
141,107,141+107=?,248
162,54,162+54=?,216
68,96,68+96=?,164
63,66,63+66=?,129
107,190,107+190=?,297
173,121,173+121=?,294
41,118,41+118=?,159
53,153,53+153=?,206
159,119,159+119=?,278
134,63,134+63=?,197
36,109,36+109=?,145
155,123,155+123=?,278
84,136,84+136=?,220
