a,b,question,answer
22,7,22-7=?,15
74,50,74-50=?,24
13,12,13-12=?,1
35,15,35-15=?,20
44,28,44-28=?,16
24,9,24-9=?,15
31,28,31-28=?,3
77,36,77-36=?,41
14,12,14-12=?,2
8,4,8-4=?,4
75,6,75-6=?,69
22,20,22-20=?,2
7,4,7-4=?,3
64,54,64-54=?,10
50,35,50-35=?,15
79,42,79-42=?,37
9,1,9-1=?,8
34,20,34-20=?,14
37,9,37-9=?,28
38,36,38-36=?,2
18,8,18-8=?,10
65,26,65-26=?,39
35,16,35-16=?,19
10,1,10-1=?,9
80,66,80-66=?,14
44,38,44-38=?,6
30,15,30-15=?,15
37,15,37-15=?,22
20,7,20-7=?,13
31,10,31-10=?,21
26,13,26-13=?,13
16,1,16-1=?,15
46,9,46-9=?,37
43,33,43-33=?,10
24,17,24-17=?,7
62,23,62-23=?,39
74,25,74-25=?,49
29,25,29-25=?,4
6,5,6-5=?,1
13,9,13-9=?,4
12,3,12-3=?,9
73,51,73-51=?,22
25,2,25-2=?,23
38,14,38-14=?,24
31,5,31-5=?,26
73,40,73-40=?,33
30,23,30-23=?,7
42,15,42-15=?,27
56,2,56-2=?,54
20,5,20-5=?,15
26,21,26-21=?,5
77,52,77-52=?,25
58,2,58-2=?,56
12,5,12-5=?,7
63,8,63-8=?,55
15,1,15-1=?,14
9,1,9-1=?,8
36,11,36-11=?,25
46,28,46-28=?,18
47,24,47-24=?,23
6,1,6-1=?,5
53,5,53-5=?,48
73,42,73-42=?,31
69,1,69-1=?,68
39,20,39-20=?,19
19,12,19-12=?,7
43,17,43-17=?,26
37,13,37-13=?,24
79,76,79-76=?,3
45,38,45-38=?,7
40,29,40-29=?,11
62,42,62-42=?,20
55,47,55-47=?,8
13,4,13-4=?,9
38,29,38-29=?,9
15,10,15-10=?,5
9,7,9-7=?,2
28,6,28-6=?,22
47,35,47-35=?,12
24,3,24-3=?,21
11,7,11-7=?,4
24,15,24-15=?,9
52,19,52-19=?,33
74,14,74-14=?,60
41,25,41-25=?,16
71,32,71-32=?,39
64,12,64-12=?,52
28,4,28-4=?,24
23,6,23-6=?,17
19,5,19-5=?,14
10,4,10-4=?,6
14,2,14-2=?,12
20,9,20-9=?,11
9,5,9-5=?,4
46,30,46-30=?,16
37,27,37-27=?,10
31,6,31-6=?,25
62,26,62-26=?,36
15,1,15-1=?,14
43,30,43-30=?,13
56,52,56-52=?,4
64,55,64-55=?,9
49,37,49-37=?,12
10,9,10-9=?,1
3,2,3-2=?,1
22,9,22-9=?,13
19,1,19-1=?,18
8,6,8-6=?,2
12,2,12-2=?,10
64,1,64-1=?,63
34,12,34-12=?,22
74,1,74-1=?,73
35,13,35-13=?,22
66,14,66-14=?,52
9,2,9-2=?,7
11,4,11-4=?,7
65,48,65-48=?,17
35,12,35-12=?,23
8,5,8-5=?,3
53,20,53-20=?,33
64,41,64-41=?,23
71,42,71-42=?,29
20,10,20-10=?,10
13,3,13-3=?,10
24,1,24-1=?,23
9,1,9-1=?,8
62,36,62-36=?,26
45,32,45-32=?,13
46,11,46-11=?,35
8,3,8-3=?,5
33,17,33-17=?,16
53,42,53-42=?,11
54,52,54-52=?,2
39,21,39-21=?,18
56,39,56-39=?,17
50,21,50-21=?,29
39,11,39-11=?,28
19,2,19-2=?,17
30,27,30-27=?,3
36,35,36-35=?,1
53,28,53-28=?,25
69,40,69-40=?,29
60,7,60-7=?,53
40,4,40-4=?,36
73,69,73-69=?,4
60,18,60-18=?,42
48,19,48-19=?,29
37,23,37-23=?,14
43,25,43-25=?,18
42,29,42-29=?,13
57,21,57-21=?,36
52,27,52-27=?,25
65,12,65-12=?,53
24,22,24-22=?,2
80,52,80-52=?,28
5,2,5-2=?,3
37,31,37-31=?,6
80,40,80-40=?,40
33,7,33-7=?,26
55,17,55-17=?,38
62,55,62-55=?,7
55,4,55-4=?,51
75,61,75-61=?,14
9,1,9-1=?,8
65,46,65-46=?,19
57,12,57-12=?,45
35,7,35-7=?,28
62,14,62-14=?,48
74,62,74-62=?,12
67,41,67-41=?,26
11,5,11-5=?,6
13,8,13-8=?,5
79,78,79-78=?,1
65,18,65-18=?,47
4,2,4-2=?,2
70,27,70-27=?,43
32,11,32-11=?,21
44,14,44-14=?,30
56,11,56-11=?,45
2,1,2-1=?,1
59,43,59-43=?,16
73,55,73-55=?,18
36,24,36-24=?,12
15,3,15-3=?,12
31,7,31-7=?,24
49,15,49-15=?,34
40,14,40-14=?,26
28,27,28-27=?,1
62,39,62-39=?,23
6,4,6-4=?,2
79,63,79-63=?,16
30,20,30-20=?,10
21,9,21-9=?,12
37,36,37-36=?,1
32,13,32-13=?,19
11,5,11-5=?,6
76,38,76-38=?,38
23,8,23-8=?,15
32,30,32-30=?,2
60,6,60-6=?,54
11,7,11-7=?,4
11,1,11-1=?,10
9,6,9-6=?,3
34,3,34-3=?,31
69,51,69-51=?,18
65,24,65-24=?,41
74,14,74-14=?,60
67,42,67-42=?,25
59,14,59-14=?,45
27,12,27-12=?,15
36,11,36-11=?,25
51,46,51-46=?,5
59,12,59-12=?,47
36,28,36-28=?,8
51,26,51-26=?,25
6,2,6-2=?,4
34,31,34-31=?,3
74,46,74-46=?,28
50,11,50-11=?,39
70,52,70-52=?,18
51,19,51-19=?,32
75,62,75-62=?,13
74,13,74-13=?,61
38,27,38-27=?,11
35,13,35-13=?,22
27,2,27-2=?,25
42,1,42-1=?,41
4,3,4-3=?,1
18,14,18-14=?,4
69,24,69-24=?,45
43,18,43-18=?,25
43,38,43-38=?,5
31,19,31-19=?,12
77,43,77-43=?,34
74,12,74-12=?,62
44,24,44-24=?,20
16,1,16-1=?,15
55,35,55-35=?,20
32,26,32-26=?,6
8,7,8-7=?,1
29,11,29-11=?,18
9,7,9-7=?,2
16,2,16-2=?,14
35,13,35-13=?,22
20,13,20-13=?,7
72,60,72-60=?,12
55,15,55-15=?,40
69,13,69-13=?,56
64,43,64-43=?,21
67,52,67-52=?,15
30,28,30-28=?,2
65,7,65-7=?,58
48,13,48-13=?,35
79,9,79-9=?,70
71,46,71-46=?,25
17,1,17-1=?,16
53,43,53-43=?,10
43,1,43-1=?,42
30,12,30-12=?,18
63,58,63-58=?,5
59,22,59-22=?,37
37,20,37-20=?,17
65,35,65-35=?,30
27,15,27-15=?,12
3,2,3-2=?,1
4,1,4-1=?,3
42,36,42-36=?,6
18,5,18-5=?,13
22,6,22-6=?,16
59,26,59-26=?,33
42,2,42-2=?,40
67,6,67-6=?,61
53,18,53-18=?,35
6,4,6-4=?,2
77,38,77-38=?,39
75,33,75-33=?,42
78,70,78-70=?,8
33,15,33-15=?,18
28,24,28-24=?,4
31,1,31-1=?,30
6,1,6-1=?,5
27,19,27-19=?,8
7,5,7-5=?,2
58,34,58-34=?,24
30,14,30-14=?,16
47,31,47-31=?,16
56,27,56-27=?,29
39,9,39-9=?,30
33,5,33-5=?,28
51,42,51-42=?,9
40,18,40-18=?,22
19,8,19-8=?,11
29,21,29-21=?,8
3,1,3-1=?,2
18,11,18-11=?,7
3,1,3-1=?,2
63,20,63-20=?,43
36,7,36-7=?,29
65,33,65-33=?,32
