a,b,question,answer
70,60,70+60=?,130
80,48,80+48=?,128
65,97,65+97=?,162
47,71,47+71=?,118
94,99,94+99=?,193
30,60,30+60=?,90
22,98,22+98=?,120
13,30,13+30=?,43
85,30,85+30=?,115
62,96,62+96=?,158
91,20,91+20=?,111
99,13,99+13=?,112
13,91,13+91=?,104
75,37,75+37=?,112
73,84,73+84=?,157
65,99,65+99=?,164
16,14,16+14=?,30
22,22,22+22=?,44
23,95,23+95=?,118
32,75,32+75=?,107
62,22,62+22=?,84
17,33,17+33=?,50
49,35,49+35=?,84
72,94,72+94=?,166
35,47,35+47=?,82
61,74,61+74=?,135
45,16,45+16=?,61
44,67,44+67=?,111
19,72,19+72=?,91
84,64,84+64=?,148
98,77,98+77=?,175
50,73,50+73=?,123
85,23,85+23=?,108
52,13,52+13=?,65
82,19,82+19=?,101
44,37,44+37=?,81
67,10,67+10=?,77
13,93,13+93=?,106
57,78,57+78=?,135
80,55,80+55=?,135
59,98,59+98=?,157
76,46,76+46=?,122
11,43,11+43=?,54
60,51,60+51=?,111
39,13,39+13=?,52
31,71,31+71=?,102
68,99,68+99=?,167
88,86,88+86=?,174
31,24,31+24=?,55
18,71,18+71=?,89
73,16,73+16=?,89
15,54,15+54=?,69
13,40,13+40=?,53
84,86,84+86=?,170
39,46,39+46=?,85
70,60,70+60=?,130
55,36,55+36=?,91
88,30,88+30=?,118
52,59,52+59=?,111
18,87,18+87=?,105
57,99,57+99=?,156
78,36,78+36=?,114
58,74,58+74=?,132
45,82,45+82=?,127
82,32,82+32=?,114
82,28,82+28=?,110
50,28,50+28=?,78
54,17,54+17=?,71
84,83,84+83=?,167
31,95,31+95=?,126
19,34,19+34=?,53
13,74,13+74=?,87
31,31,31+31=?,62
22,55,22+55=?,77
74,58,74+58=?,132
39,46,39+46=?,85
92,96,92+96=?,188
25,42,25+42=?,67
47,40,47+40=?,87
86,40,86+40=?,126
10,95,10+95=?,105
53,63,53+63=?,116
64,18,64+18=?,82
84,19,84+19=?,103
61,33,61+33=?,94
98,35,98+35=?,133
18,26,18+26=?,44
62,95,62+95=?,157
48,40,48+40=?,88
62,98,62+98=?,160
64,82,64+82=?,146
33,35,33+35=?,68
53,16,53+16=?,69
87,32,87+32=?,119
11,31,11+31=?,42
50,54,50+54=?,104
18,81,18+81=?,99
85,61,85+61=?,146
75,34,75+34=?,109
35,29,35+29=?,64
39,43,39+43=?,82
16,78,16+78=?,94
69,73,69+73=?,142
21,88,21+88=?,109
31,59,31+59=?,90
84,94,84+94=?,178
11,15,11+15=?,26
43,94,43+94=?,137
75,42,75+42=?,117
96,48,96+48=?,144
80,68,80+68=?,148
90,64,90+64=?,154
20,61,20+61=?,81
28,57,28+57=?,85
11,56,11+56=?,67
41,81,41+81=?,122
