a,b,question,answer
13,11,13-11=?,2
36,12,36-12=?,24
167,34,167-34=?,133
150,147,150-147=?,3
186,170,186-170=?,16
166,85,166-85=?,81
193,16,193-16=?,177
95,81,95-81=?,14
130,126,130-126=?,4
158,103,158-103=?,55
100,11,100-11=?,89
59,47,59-47=?,12
53,22,53-22=?,31
129,59,129-59=?,70
119,11,119-11=?,108
94,38,94-38=?,56
127,20,127-20=?,107
24,21,24-21=?,3
92,24,92-24=?,68
24,16,24-16=?,8
133,95,133-95=?,38
22,15,22-15=?,7
90,80,90-80=?,10
87,86,87-86=?,1
126,84,126-84=?,42
92,71,92-71=?,21
35,11,35-11=?,24
47,14,47-14=?,33
102,84,102-84=?,18
89,55,89-55=?,34
145,94,145-94=?,51
93,66,93-66=?,27
62,55,62-55=?,7
136,55,136-55=?,81
19,18,19-18=?,1
63,20,63-20=?,43
23,15,23-15=?,8
72,55,72-55=?,17
135,49,135-49=?,86
36,12,36-12=?,24
119,98,119-98=?,21
121,117,121-117=?,4
183,72,183-72=?,111
122,54,122-54=?,68
187,81,187-81=?,106
149,40,149-40=?,109
59,16,59-16=?,43
125,40,125-40=?,85
40,27,40-27=?,13
34,28,34-28=?,6
136,74,136-74=?,62
58,55,58-55=?,3
43,33,43-33=?,10
164,85,164-85=?,79
147,101,147-101=?,46
63,12,63-12=?,51
83,72,83-72=?,11
64,37,64-37=?,27
200,48,200-48=?,152
131,119,131-119=?,12
88,86,88-86=?,2
96,59,96-59=?,37
187,160,187-160=?,27
86,24,86-24=?,62
85,59,85-59=?,26
17,13,17-13=?,4
158,39,158-39=?,119
131,85,131-85=?,46
81,32,81-32=?,49
91,27,91-27=?,64
60,40,60-40=?,20
190,136,190-136=?,54
52,42,52-42=?,10
163,43,163-43=?,120
43,22,43-22=?,21
198,59,198-59=?,139
181,68,181-68=?,113
49,40,49-40=?,9
109,51,109-51=?,58
133,27,133-27=?,106
66,28,66-28=?,38
116,42,116-42=?,74
131,63,131-63=?,68
95,61,95-61=?,34
24,19,24-19=?,5
45,44,45-44=?,1
69,47,69-47=?,22
129,43,129-43=?,86
144,33,144-33=?,111
62,33,62-33=?,29
56,36,56-36=?,20
53,17,53-17=?,36
103,29,103-29=?,74
29,24,29-24=?,5
191,132,191-132=?,59
45,14,45-14=?,31
93,58,93-58=?,35
92,12,92-12=?,80
97,82,97-82=?,15
140,25,140-25=?,115
47,39,47-39=?,8
143,18,143-18=?,125
162,161,162-161=?,1
152,105,152-105=?,47
32,21,32-21=?,11
68,44,68-44=?,24
162,161,162-161=?,1
125,26,125-26=?,99
153,82,153-82=?,71
104,24,104-24=?,80
160,88,160-88=?,72
131,50,131-50=?,81
26,25,26-25=?,1
107,84,107-84=?,23
52,14,52-14=?,38
136,35,136-35=?,101
136,53,136-53=?,83
122,70,122-70=?,52
61,25,61-25=?,36
174,63,174-63=?,111
176,137,176-137=?,39
118,62,118-62=?,56
127,29,127-29=?,98
28,14,28-14=?,14
81,48,81-48=?,33
68,33,68-33=?,35
138,115,138-115=?,23
64,28,64-28=?,36
58,29,58-29=?,29
13,11,13-11=?,2
190,164,190-164=?,26
132,130,132-130=?,2
120,99,120-99=?,21
92,13,92-13=?,79
134,11,134-11=?,123
121,42,121-42=?,79
129,81,129-81=?,48
109,31,109-31=?,78
89,32,89-32=?,57
143,50,143-50=?,93
99,28,99-28=?,71
143,38,143-38=?,105
111,46,111-46=?,65
57,52,57-52=?,5
64,38,64-38=?,26
197,63,197-63=?,134
62,35,62-35=?,27
25,17,25-17=?,8
136,53,136-53=?,83
61,55,61-55=?,6
138,66,138-66=?,72
100,33,100-33=?,67
14,12,14-12=?,2
134,16,134-16=?,118
106,91,106-91=?,15
31,30,31-30=?,1
14,12,14-12=?,2
176,11,176-11=?,165
154,135,154-135=?,19
137,63,137-63=?,74
86,71,86-71=?,15
114,29,114-29=?,85
188,144,188-144=?,44
153,135,153-135=?,18
72,71,72-71=?,1
91,43,91-43=?,48
68,67,68-67=?,1
178,144,178-144=?,34
79,61,79-61=?,18
191,124,191-124=?,67
183,72,183-72=?,111
162,73,162-73=?,89
110,79,110-79=?,31
124,81,124-81=?,43
22,13,22-13=?,9
168,145,168-145=?,23
130,38,130-38=?,92
37,16,37-16=?,21
70,27,70-27=?,43
199,149,199-149=?,50
118,38,118-38=?,80
112,50,112-50=?,62
107,31,107-31=?,76
126,30,126-30=?,96
86,68,86-68=?,18
89,72,89-72=?,17
112,18,112-18=?,94
191,19,191-19=?,172
198,180,198-180=?,18
112,25,112-25=?,87
143,112,143-112=?,31
160,147,160-147=?,13
190,48,190-48=?,142
172,61,172-61=?,111
95,16,95-16=?,79
34,33,34-33=?,1
102,89,102-89=?,13
143,136,143-136=?,7
191,38,191-38=?,153
