a,b,question,answer
33,19,33-19=?,14
31,29,31-29=?,2
21,9,21-9=?,12
16,5,16-5=?,11
8,6,8-6=?,2
4,3,4-3=?,1
28,22,28-22=?,6
12,8,12-8=?,4
31,8,31-8=?,23
24,11,24-11=?,13
32,31,32-31=?,1
23,11,23-11=?,12
22,12,22-12=?,10
40,35,40-35=?,5
31,6,31-6=?,25
29,24,29-24=?,5
26,8,26-8=?,18
22,4,22-4=?,18
23,6,23-6=?,17
18,3,18-3=?,15
47,27,47-27=?,20
22,4,22-4=?,18
42,20,42-20=?,22
35,34,35-34=?,1
17,6,17-6=?,11
11,2,11-2=?,9
26,7,26-7=?,19
40,24,40-24=?,16
9,3,9-3=?,6
37,35,37-35=?,2
42,34,42-34=?,8
44,33,44-33=?,11
24,21,24-21=?,3
43,37,43-37=?,6
26,24,26-24=?,2
20,15,20-15=?,5
6,5,6-5=?,1
4,1,4-1=?,3
41,5,41-5=?,36
22,3,22-3=?,19
4,3,4-3=?,1
2,1,2-1=?,1
49,30,49-30=?,19
46,17,46-17=?,29
33,8,33-8=?,25
2,1,2-1=?,1
20,9,20-9=?,11
37,7,37-7=?,30
17,14,17-14=?,3
47,40,47-40=?,7
33,21,33-21=?,12
45,8,45-8=?,37
2,1,2-1=?,1
46,2,46-2=?,44
4,1,4-1=?,3
16,3,16-3=?,13
12,6,12-6=?,6
21,14,21-14=?,7
33,3,33-3=?,30
16,14,16-14=?,2
41,13,41-13=?,28
43,12,43-12=?,31
16,7,16-7=?,9
4,3,4-3=?,1
25,8,25-8=?,17
49,11,49-11=?,38
28,25,28-25=?,3
15,13,15-13=?,2
19,4,19-4=?,15
45,13,45-13=?,32
24,8,24-8=?,16
28,6,28-6=?,22
50,37,50-37=?,13
49,31,49-31=?,18
29,23,29-23=?,6
5,1,5-1=?,4
43,6,43-6=?,37
3,1,3-1=?,2
18,7,18-7=?,11
5,2,5-2=?,3
18,5,18-5=?,13
48,39,48-39=?,9
23,20,23-20=?,3
18,13,18-13=?,5
20,13,20-13=?,7
28,14,28-14=?,14
37,12,37-12=?,25
38,6,38-6=?,32
31,17,31-17=?,14
7,3,7-3=?,4
15,9,15-9=?,6
29,3,29-3=?,26
27,1,27-1=?,26
3,2,3-2=?,1
23,20,23-20=?,3
9,4,9-4=?,5
22,11,22-11=?,11
25,15,25-15=?,10
24,22,24-22=?,2
22,13,22-13=?,9
44,17,44-17=?,27
40,34,40-34=?,6
43,21,43-21=?,22
41,26,41-26=?,15
28,10,28-10=?,18
17,10,17-10=?,7
37,6,37-6=?,31
48,12,48-12=?,36
14,4,14-4=?,10
43,11,43-11=?,32
47,45,47-45=?,2
2,1,2-1=?,1
25,14,25-14=?,11
27,18,27-18=?,9
34,19,34-19=?,15
42,31,42-31=?,11
45,29,45-29=?,16
46,36,46-36=?,10
16,13,16-13=?,3
