a,b,question,answer
,,28÷7=?,4
,,36÷6=?,6
,,15÷3=?,5
,,40÷5=?,8
,,36÷4=?,9
,,21÷7=?,3
,,15÷3=?,5
,,27÷9=?,3
,,21÷3=?,7
,,63÷9=?,7
,,10÷5=?,2
,,12÷3=?,4
,,16÷4=?,4
,,20÷4=?,5
,,63÷7=?,9
,,25÷5=?,5
,,18÷6=?,3
,,54÷9=?,6
,,20÷5=?,4
,,42÷7=?,6
,,16÷4=?,4
,,42÷7=?,6
,,24÷8=?,3
,,63÷7=?,9
,,12÷2=?,6
,,20÷5=?,4
,,24÷3=?,8
,,32÷8=?,4
,,21÷3=?,7
,,32÷4=?,8
,,30÷5=?,6
,,10÷2=?,5
,,36÷6=?,6
,,45÷9=?,5
,,49÷7=?,7
,,16÷4=?,4
,,21÷7=?,3
,,16÷2=?,8
,,10÷2=?,5
,,14÷2=?,7
,,12÷4=?,3
,,40÷8=?,5
,,18÷3=?,6
,,12÷6=?,2
,,35÷5=?,7
,,12÷6=?,2
,,10÷2=?,5
,,15÷5=?,3
,,27÷3=?,9
,,81÷9=?,9
,,28÷7=?,4
,,35÷7=?,5
,,32÷4=?,8
,,36÷6=?,6
,,81÷9=?,9
,,81÷9=?,9
,,14÷2=?,7
,,36÷9=?,4
,,42÷7=?,6
,,35÷7=?,5
,,56÷8=?,7
,,16÷2=?,8
,,36÷4=?,9
,,32÷8=?,4
,,28÷7=?,4
,,56÷7=?,8
,,24÷3=?,8
,,35÷5=?,7
,,24÷4=?,6
,,12÷6=?,2
,,15÷3=?,5
,,32÷4=?,8
,,10÷2=?,5
,,12÷6=?,2
,,24÷4=?,6
,,27÷3=?,9
,,27÷3=?,9
,,24÷3=?,8
,,21÷3=?,7
,,12÷6=?,2
,,15÷5=?,3
,,21÷3=?,7
,,15÷5=?,3
,,45÷5=?,9
,,10÷2=?,5
,,56÷8=?,7
,,45÷9=?,5
,,25÷5=?,5
,,12÷2=?,6
,,18÷3=?,6
,,36÷6=?,6
,,18÷6=?,3
,,63÷7=?,9
,,12÷4=?,3
,,28÷7=?,4
,,40÷8=?,5
,,24÷8=?,3
,,18÷2=?,9
,,24÷4=?,6
,,21÷3=?,7
,,24÷3=?,8
,,36÷6=?,6
,,45÷5=?,9
,,25÷5=?,5
,,21÷7=?,3
,,35÷5=?,7
,,15÷3=?,5
,,28÷7=?,4
,,42÷6=?,7
,,56÷8=?,7
,,54÷6=?,9
,,72÷9=?,8
,,40÷8=?,5
,,54÷9=?,6
,,18÷3=?,6
,,30÷5=?,6
,,12÷3=?,4
,,16÷8=?,2
,,32÷4=?,8
,,18÷6=?,3
,,36÷9=?,4
,,42÷7=?,6
,,18÷9=?,2
,,48÷8=?,6
,,18÷2=?,9
,,56÷8=?,7
,,10÷2=?,5
,,45÷5=?,9
,,45÷9=?,5
,,20÷5=?,4
,,16÷4=?,4
,,12÷2=?,6
,,54÷9=?,6
,,63÷9=?,7
,,72÷9=?,8
,,35÷5=?,7
,,54÷9=?,6
,,32÷8=?,4
,,18÷6=?,3
,,21÷3=?,7
,,16÷2=?,8
,,28÷7=?,4
,,72÷8=?,9
,,24÷4=?,6
,,63÷9=?,7
,,24÷6=?,4
,,16÷4=?,4
,,54÷6=?,9
,,21÷3=?,7
,,36÷6=?,6
,,16÷8=?,2
,,35÷7=?,5
,,14÷7=?,2
,,18÷3=?,6
,,32÷4=?,8
,,35÷5=?,7
,,10÷2=?,5
,,28÷7=?,4
,,35÷7=?,5
,,16÷2=?,8
,,36÷6=?,6
,,25÷5=?,5
,,48÷6=?,8
,,16÷8=?,2
,,35÷5=?,7
,,15÷3=?,5
,,40÷8=?,5
,,10÷2=?,5
,,36÷6=?,6
,,48÷8=?,6
,,30÷5=?,6
,,30÷5=?,6
,,18÷6=?,3
,,48÷8=?,6
,,14÷2=?,7
,,21÷7=?,3
,,25÷5=?,5
,,42÷7=?,6
,,16÷8=?,2
,,18÷2=?,9
,,64÷8=?,8
,,54÷6=?,9
,,27÷9=?,3
,,30÷6=?,5
,,24÷3=?,8
,,35÷7=?,5
,,56÷7=?,8
,,42÷7=?,6
,,20÷4=?,5
,,10÷2=?,5
,,12÷4=?,3
,,28÷4=?,7
,,20÷4=?,5
,,36÷4=?,9
,,27÷3=?,9
,,63÷7=?,9
,,42÷7=?,6
,,30÷6=?,5
,,15÷5=?,3
,,21÷7=?,3
,,10÷2=?,5
,,40÷5=?,8
,,81÷9=?,9
,,49÷7=?,7
,,63÷9=?,7
,,16÷2=?,8
,,45÷5=?,9
,,21÷7=?,3
,,24÷8=?,3
,,72÷9=?,8
,,21÷3=?,7
,,20÷4=?,5
,,14÷2=?,7
,,10÷2=?,5
,,28÷4=?,7
,,42÷7=?,6
,,20÷5=?,4
,,72÷8=?,9
,,27÷9=?,3
,,12÷3=?,4
,,28÷4=?,7
,,36÷4=?,9
,,63÷9=?,7
,,49÷7=?,7
,,12÷4=?,3
,,21÷3=?,7
,,12÷3=?,4
,,35÷5=?,7
,,18÷2=?,9
,,45÷9=?,5
,,28÷7=?,4
,,63÷9=?,7
,,81÷9=?,9
,,18÷2=?,9
,,54÷6=?,9
,,16÷2=?,8
,,30÷6=?,5
,,27÷9=?,3
,,36÷9=?,4
,,63÷7=?,9
,,42÷6=?,7
,,63÷9=?,7
,,64÷8=?,8
,,16÷2=?,8
,,18÷2=?,9
,,27÷3=?,9
,,21÷7=?,3
,,36÷6=?,6
,,36÷9=?,4
,,24÷6=?,4
,,10÷5=?,2
,,49÷7=?,7
,,36÷4=?,9
,,21÷3=?,7
,,35÷5=?,7
,,12÷4=?,3
,,14÷7=?,2
,,12÷3=?,4
,,25÷5=?,5
,,56÷8=?,7
,,27÷9=?,3
,,54÷6=?,9
,,12÷3=?,4
,,18÷6=?,3
,,20÷4=?,5
,,28÷4=?,7
,,42÷6=?,7
,,27÷3=?,9
,,48÷6=?,8
,,18÷2=?,9
,,30÷6=?,5
,,27÷9=?,3
,,81÷9=?,9
,,24÷4=?,6
,,12÷6=?,2
,,20÷4=?,5
,,25÷5=?,5
,,49÷7=?,7
,,16÷2=?,8
,,48÷8=?,6
,,25÷5=?,5
,,12÷2=?,6
,,56÷8=?,7
,,36÷6=?,6
,,27÷3=?,9
,,21÷7=?,3
,,10÷2=?,5
,,12÷6=?,2
,,24÷3=?,8
,,18÷3=?,6
,,16÷8=?,2
,,32÷8=?,4
,,12÷2=?,6
,,18÷9=?,2
,,42÷7=?,6
,,48÷8=?,6
,,81÷9=?,9
,,10÷5=?,2
,,45÷9=?,5
,,12÷4=?,3
