a,b,question,answer
21,9,21×9=?,189
56,5,56×5=?,280
43,7,43×7=?,301
85,6,85×6=?,510
46,3,46×3=?,138
61,8,61×8=?,488
68,7,68×7=?,476
96,6,96×6=?,576
90,5,90×5=?,450
74,5,74×5=?,370
73,7,73×7=?,511
91,5,91×5=?,455
45,6,45×6=?,270
86,3,86×3=?,258
37,6,37×6=?,222
73,5,73×5=?,365
48,2,48×2=?,96
71,3,71×3=?,213
84,7,84×7=?,588
54,4,54×4=?,216
81,3,81×3=?,243
39,7,39×7=?,273
23,6,23×6=?,138
82,7,82×7=?,574
59,4,59×4=?,236
84,7,84×7=?,588
31,4,31×4=?,124
81,6,81×6=?,486
81,4,81×4=?,324
18,9,18×9=?,162
82,7,82×7=?,574
28,2,28×2=?,56
61,2,61×2=?,122
55,8,55×8=?,440
51,5,51×5=?,255
69,4,69×4=?,276
72,5,72×5=?,360
16,2,16×2=?,32
16,8,16×8=?,128
94,9,94×9=?,846
94,8,94×8=?,752
87,7,87×7=?,609
24,3,24×3=?,72
60,4,60×4=?,240
62,7,62×7=?,434
14,9,14×9=?,126
85,5,85×5=?,425
56,3,56×3=?,168
13,6,13×6=?,78
66,5,66×5=?,330
75,7,75×7=?,525
89,3,89×3=?,267
51,5,51×5=?,255
68,2,68×2=?,136
54,6,54×6=?,324
16,2,16×2=?,32
97,5,97×5=?,485
55,9,55×9=?,495
72,9,72×9=?,648
64,6,64×6=?,384
31,4,31×4=?,124
52,7,52×7=?,364
25,3,25×3=?,75
51,9,51×9=?,459
62,7,62×7=?,434
32,5,32×5=?,160
45,5,45×5=?,225
55,9,55×9=?,495
13,9,13×9=?,117
92,4,92×4=?,368
88,7,88×7=?,616
64,9,64×9=?,576
33,6,33×6=?,198
92,2,92×2=?,184
86,3,86×3=?,258
15,3,15×3=?,45
25,7,25×7=?,175
57,5,57×5=?,285
85,4,85×4=?,340
23,9,23×9=?,207
88,2,88×2=?,176
86,8,86×8=?,688
74,3,74×3=?,222
71,3,71×3=?,213
82,9,82×9=?,738
23,9,23×9=?,207
41,3,41×3=?,123
88,5,88×5=?,440
81,3,81×3=?,243
54,9,54×9=?,486
44,5,44×5=?,220
93,4,93×4=?,372
66,2,66×2=?,132
65,6,65×6=?,390
77,5,77×5=?,385
14,8,14×8=?,112
75,7,75×7=?,525
10,8,10×8=?,80
25,2,25×2=?,50
92,5,92×5=?,460
75,5,75×5=?,375
16,9,16×9=?,144
20,9,20×9=?,180
17,9,17×9=?,153
89,8,89×8=?,712
50,8,50×8=?,400
53,4,53×4=?,212
97,8,97×8=?,776
49,4,49×4=?,196
60,4,60×4=?,240
54,4,54×4=?,216
67,7,67×7=?,469
82,7,82×7=?,574
90,8,90×8=?,720
51,5,51×5=?,255
99,6,99×6=?,594
88,3,88×3=?,264
81,9,81×9=?,729
22,7,22×7=?,154
24,6,24×6=?,144
73,6,73×6=?,438
21,6,21×6=?,126
97,5,97×5=?,485
79,6,79×6=?,474
41,7,41×7=?,287
23,7,23×7=?,161
55,8,55×8=?,440
92,4,92×4=?,368
10,6,10×6=?,60
77,6,77×6=?,462
43,5,43×5=?,215
62,2,62×2=?,124
95,5,95×5=?,475
93,3,93×3=?,279
46,4,46×4=?,184
79,3,79×3=?,237
15,9,15×9=?,135
28,5,28×5=?,140
89,6,89×6=?,534
35,7,35×7=?,245
34,6,34×6=?,204
33,4,33×4=?,132
28,9,28×9=?,252
21,2,21×2=?,42
57,3,57×3=?,171
40,9,40×9=?,360
82,7,82×7=?,574
58,8,58×8=?,464
37,2,37×2=?,74
37,7,37×7=?,259
18,4,18×4=?,72
31,2,31×2=?,62
43,2,43×2=?,86
96,2,96×2=?,192
74,6,74×6=?,444
96,4,96×4=?,384
41,7,41×7=?,287
55,8,55×8=?,440
54,9,54×9=?,486
23,8,23×8=?,184
73,9,73×9=?,657
47,9,47×9=?,423
94,4,94×4=?,376
18,9,18×9=?,162
85,7,85×7=?,595
24,3,24×3=?,72
54,6,54×6=?,324
64,3,64×3=?,192
64,4,64×4=?,256
68,2,68×2=?,136
65,3,65×3=?,195
33,9,33×9=?,297
73,8,73×8=?,584
81,2,81×2=?,162
14,6,14×6=?,84
62,5,62×5=?,310
82,2,82×2=?,164
24,9,24×9=?,216
24,3,24×3=?,72
68,7,68×7=?,476
28,5,28×5=?,140
80,6,80×6=?,480
57,2,57×2=?,114
50,2,50×2=?,100
78,6,78×6=?,468
22,8,22×8=?,176
18,7,18×7=?,126
55,8,55×8=?,440
65,5,65×5=?,325
14,8,14×8=?,112
96,9,96×9=?,864
79,4,79×4=?,316
70,2,70×2=?,140
17,3,17×3=?,51
90,7,90×7=?,630
32,5,32×5=?,160
71,7,71×7=?,497
45,5,45×5=?,225
63,4,63×4=?,252
76,5,76×5=?,380
89,5,89×5=?,445
96,5,96×5=?,480
95,7,95×7=?,665
41,9,41×9=?,369
97,3,97×3=?,291
50,9,50×9=?,450
50,9,50×9=?,450
58,6,58×6=?,348
75,7,75×7=?,525
95,4,95×4=?,380
39,4,39×4=?,156
73,6,73×6=?,438
92,8,92×8=?,736
73,5,73×5=?,365
10,7,10×7=?,70
31,3,31×3=?,93
66,2,66×2=?,132
21,3,21×3=?,63
22,4,22×4=?,88
87,9,87×9=?,783
28,7,28×7=?,196
29,5,29×5=?,145
92,3,92×3=?,276
74,8,74×8=?,592
91,8,91×8=?,728
88,2,88×2=?,176
20,3,20×3=?,60
74,4,74×4=?,296
56,8,56×8=?,448
16,4,16×4=?,64
78,9,78×9=?,702
16,9,16×9=?,144
96,7,96×7=?,672
85,9,85×9=?,765
88,5,88×5=?,440
48,4,48×4=?,192
42,5,42×5=?,210
44,4,44×4=?,176
10,5,10×5=?,50
97,8,97×8=?,776
43,7,43×7=?,301
90,5,90×5=?,450
33,7,33×7=?,231
90,4,90×4=?,360
89,5,89×5=?,445
62,7,62×7=?,434
71,5,71×5=?,355
39,9,39×9=?,351
23,9,23×9=?,207
69,8,69×8=?,552
38,3,38×3=?,114
46,7,46×7=?,322
13,6,13×6=?,78
72,6,72×6=?,432
74,7,74×7=?,518
43,9,43×9=?,387
10,6,10×6=?,60
27,4,27×4=?,108
69,9,69×9=?,621
39,4,39×4=?,156
48,3,48×3=?,144
18,4,18×4=?,72
58,9,58×9=?,522
20,2,20×2=?,40
96,8,96×8=?,768
87,8,87×8=?,696
25,6,25×6=?,150
96,3,96×3=?,288
18,5,18×5=?,90
83,7,83×7=?,581
13,8,13×8=?,104
75,7,75×7=?,525
39,9,39×9=?,351
98,3,98×3=?,294
24,7,24×7=?,168
26,6,26×6=?,156
84,8,84×8=?,672
42,7,42×7=?,294
83,7,83×7=?,581
98,8,98×8=?,784
74,4,74×4=?,296
22,2,22×2=?,44
85,6,85×6=?,510
45,3,45×3=?,135
37,9,37×9=?,333
27,5,27×5=?,135
85,7,85×7=?,595
63,9,63×9=?,567
11,3,11×3=?,33
92,3,92×3=?,276
49,3,49×3=?,147
48,8,48×8=?,384
61,3,61×3=?,183
71,2,71×2=?,142
15,7,15×7=?,105
47,5,47×5=?,235
30,9,30×9=?,270
83,9,83×9=?,747
36,6,36×6=?,216
