a,b,question,answer
51,51,51+51=?,102
5,50,5+50=?,55
66,75,66+75=?,141
74,39,74+39=?,113
28,74,28+74=?,102
56,73,56+73=?,129
33,13,33+13=?,46
33,77,33+77=?,110
50,45,50+45=?,95
21,76,21+76=?,97
50,35,50+35=?,85
64,63,64+63=?,127
30,32,30+32=?,62
8,11,8+11=?,19
28,30,28+30=?,58
74,76,74+76=?,150
18,6,18+6=?,24
32,8,32+8=?,40
40,69,40+69=?,109
70,71,70+71=?,141
66,66,66+66=?,132
55,53,55+53=?,108
69,69,69+69=?,138
37,53,37+53=?,90
11,47,11+47=?,58
75,25,75+25=?,100
39,39,39+39=?,78
39,13,39+13=?,52
21,77,21+77=?,98
71,33,71+33=?,104
22,42,22+42=?,64
15,7,15+7=?,22
47,38,47+38=?,85
24,52,24+52=?,76
12,50,12+50=?,62
2,32,2+32=?,34
5,79,5+79=?,84
78,12,78+12=?,90
20,71,20+71=?,91
2,14,2+14=?,16
80,31,80+31=?,111
66,52,66+52=?,118
18,7,18+7=?,25
75,68,75+68=?,143
7,45,7+45=?,52
61,11,61+11=?,72
17,37,17+37=?,54
47,67,47+67=?,114
10,28,10+28=?,38
38,20,38+20=?,58
22,14,22+14=?,36
68,21,68+21=?,89
25,61,25+61=?,86
4,8,4+8=?,12
6,29,6+29=?,35
17,65,17+65=?,82
58,55,58+55=?,113
41,26,41+26=?,67
18,31,18+31=?,49
7,9,7+9=?,16
59,48,59+48=?,107
45,40,45+40=?,85
30,46,30+46=?,76
55,79,55+79=?,134
73,41,73+41=?,114
29,77,29+77=?,106
63,34,63+34=?,97
51,6,51+6=?,57
52,52,52+52=?,104
16,52,16+52=?,68
77,60,77+60=?,137
23,6,23+6=?,29
26,75,26+75=?,101
4,58,4+58=?,62
20,30,20+30=?,50
45,73,45+73=?,118
11,7,11+7=?,18
75,76,75+76=?,151
26,1,26+1=?,27
39,70,39+70=?,109
77,55,77+55=?,132
39,67,39+67=?,106
61,18,61+18=?,79
33,54,33+54=?,87
57,42,57+42=?,99
30,79,30+79=?,109
32,80,32+80=?,112
49,51,49+51=?,100
10,1,10+1=?,11
43,47,43+47=?,90
1,66,1+66=?,67
18,32,18+32=?,50
13,0,13+0=?,13
34,78,34+78=?,112
57,18,57+18=?,75
56,20,56+20=?,76
57,10,57+10=?,67
67,10,67+10=?,77
24,20,24+20=?,44
34,59,34+59=?,93
19,46,19+46=?,65
23,46,23+46=?,69
27,70,27+70=?,97
24,24,24+24=?,48
57,39,57+39=?,96
78,8,78+8=?,86
23,41,23+41=?,64
36,42,36+42=?,78
33,56,33+56=?,89
56,20,56+20=?,76
69,15,69+15=?,84
68,18,68+18=?,86
25,73,25+73=?,98
40,70,40+70=?,110
36,78,36+78=?,114
64,8,64+8=?,72
51,47,51+47=?,98
70,10,70+10=?,80
36,21,36+21=?,57
12,52,12+52=?,64
35,5,35+5=?,40
32,69,32+69=?,101
74,52,74+52=?,126
43,7,43+7=?,50
72,1,72+1=?,73
59,24,59+24=?,83
70,19,70+19=?,89
3,1,3+1=?,4
6,62,6+62=?,68
21,77,21+77=?,98
58,19,58+19=?,77
31,78,31+78=?,109
71,78,71+78=?,149
6,22,6+22=?,28
78,19,78+19=?,97
47,74,47+74=?,121
80,39,80+39=?,119
46,24,46+24=?,70
11,53,11+53=?,64
41,59,41+59=?,100
38,62,38+62=?,100
66,39,66+39=?,105
24,54,24+54=?,78
75,18,75+18=?,93
40,31,40+31=?,71
52,6,52+6=?,58
12,38,12+38=?,50
5,76,5+76=?,81
76,54,76+54=?,130
60,6,60+6=?,66
43,63,43+63=?,106
21,31,21+31=?,52
65,24,65+24=?,89
4,46,4+46=?,50
50,41,50+41=?,91
11,77,11+77=?,88
67,38,67+38=?,105
2,24,2+24=?,26
52,68,52+68=?,120
49,26,49+26=?,75
59,67,59+67=?,126
19,69,19+69=?,88
71,21,71+21=?,92
43,76,43+76=?,119
67,34,67+34=?,101
33,58,33+58=?,91
79,44,79+44=?,123
40,67,40+67=?,107
23,40,23+40=?,63
79,45,79+45=?,124
29,74,29+74=?,103
27,49,27+49=?,76
58,66,58+66=?,124
45,61,45+61=?,106
47,23,47+23=?,70
31,8,31+8=?,39
18,54,18+54=?,72
4,46,4+46=?,50
56,15,56+15=?,71
38,48,38+48=?,86
76,12,76+12=?,88
31,69,31+69=?,100
43,70,43+70=?,113
0,59,0+59=?,59
37,16,37+16=?,53
68,77,68+77=?,145
79,12,79+12=?,91
18,21,18+21=?,39
3,4,3+4=?,7
30,2,30+2=?,32
2,22,2+22=?,24
13,6,13+6=?,19
19,53,19+53=?,72
