a,b,question,answer
15,9,15×9=?,135
18,4,18×4=?,72
15,5,15×5=?,75
20,8,20×8=?,160
10,2,10×2=?,20
18,6,18×6=?,108
13,5,13×5=?,65
11,6,11×6=?,66
11,7,11×7=?,77
20,2,20×2=?,40
10,8,10×8=?,80
16,4,16×4=?,64
16,9,16×9=?,144
12,9,12×9=?,108
20,3,20×3=?,60
17,6,17×6=?,102
12,9,12×9=?,108
11,6,11×6=?,66
20,7,20×7=?,140
17,3,17×3=?,51
16,8,16×8=?,128
12,4,12×4=?,48
10,4,10×4=?,40
12,9,12×9=?,108
16,6,16×6=?,96
10,9,10×9=?,90
11,5,11×5=?,55
16,5,16×5=?,80
20,4,20×4=?,80
19,4,19×4=?,76
16,4,16×4=?,64
20,3,20×3=?,60
11,4,11×4=?,44
15,9,15×9=?,135
20,5,20×5=?,100
10,9,10×9=?,90
12,4,12×4=?,48
16,7,16×7=?,112
18,5,18×5=?,90
20,9,20×9=?,180
14,9,14×9=?,126
10,2,10×2=?,20
15,5,15×5=?,75
11,5,11×5=?,55
16,5,16×5=?,80
10,2,10×2=?,20
19,4,19×4=?,76
15,7,15×7=?,105
17,8,17×8=?,136
20,6,20×6=?,120
17,4,17×4=?,68
17,7,17×7=?,119
18,3,18×3=?,54
11,8,11×8=?,88
20,6,20×6=?,120
20,9,20×9=?,180
13,9,13×9=?,117
14,4,14×4=?,56
13,8,13×8=?,104
16,6,16×6=?,96
15,5,15×5=?,75
10,9,10×9=?,90
11,7,11×7=?,77
11,5,11×5=?,55
16,9,16×9=?,144
20,7,20×7=?,140
10,7,10×7=?,70
16,2,16×2=?,32
16,5,16×5=?,80
20,6,20×6=?,120
18,6,18×6=?,108
12,8,12×8=?,96
19,5,19×5=?,95
14,9,14×9=?,126
12,7,12×7=?,84
15,8,15×8=?,120
11,3,11×3=?,33
20,7,20×7=?,140
16,2,16×2=?,32
11,3,11×3=?,33
12,6,12×6=?,72
16,3,16×3=?,48
13,9,13×9=?,117
20,4,20×4=?,80
18,2,18×2=?,36
13,3,13×3=?,39
14,9,14×9=?,126
17,9,17×9=?,153
20,2,20×2=?,40
17,8,17×8=?,136
13,9,13×9=?,117
19,8,19×8=?,152
12,5,12×5=?,60
14,7,14×7=?,98
14,8,14×8=?,112
10,3,10×3=?,30
10,5,10×5=?,50
16,4,16×4=?,64
10,6,10×6=?,60
18,8,18×8=?,144
14,3,14×3=?,42
12,4,12×4=?,48
12,6,12×6=?,72
19,2,19×2=?,38
13,2,13×2=?,26
11,8,11×8=?,88
11,3,11×3=?,33
16,7,16×7=?,112
14,3,14×3=?,42
19,4,19×4=?,76
13,2,13×2=?,26
20,7,20×7=?,140
12,6,12×6=?,72
13,2,13×2=?,26
17,5,17×5=?,85
16,3,16×3=?,48
18,8,18×8=?,144
19,8,19×8=?,152
10,3,10×3=?,30
12,6,12×6=?,72
10,9,10×9=?,90
11,3,11×3=?,33
16,8,16×8=?,128
16,3,16×3=?,48
10,8,10×8=?,80
19,9,19×9=?,171
17,3,17×3=?,51
20,4,20×4=?,80
18,7,18×7=?,126
11,3,11×3=?,33
15,4,15×4=?,60
12,2,12×2=?,24
19,2,19×2=?,38
12,7,12×7=?,84
19,7,19×7=?,133
18,2,18×2=?,36
19,5,19×5=?,95
14,3,14×3=?,42
20,8,20×8=?,160
18,5,18×5=?,90
17,2,17×2=?,34
12,3,12×3=?,36
18,7,18×7=?,126
15,7,15×7=?,105
18,5,18×5=?,90
14,7,14×7=?,98
12,2,12×2=?,24
10,5,10×5=?,50
11,2,11×2=?,22
20,5,20×5=?,100
12,3,12×3=?,36
19,7,19×7=?,133
17,6,17×6=?,102
15,9,15×9=?,135
15,2,15×2=?,30
20,6,20×6=?,120
20,9,20×9=?,180
19,8,19×8=?,152
14,3,14×3=?,42
13,5,13×5=?,65
11,6,11×6=?,66
17,3,17×3=?,51
18,3,18×3=?,54
13,5,13×5=?,65
19,8,19×8=?,152
13,3,13×3=?,39
20,2,20×2=?,40
13,4,13×4=?,52
11,6,11×6=?,66
16,8,16×8=?,128
18,9,18×9=?,162
16,6,16×6=?,96
12,7,12×7=?,84
13,7,13×7=?,91
17,8,17×8=?,136
10,6,10×6=?,60
10,6,10×6=?,60
18,7,18×7=?,126
