a,b,question,answer
15,9,15-9=?,6
14,4,14-4=?,10
16,4,16-4=?,12
7,3,7-3=?,4
20,1,20-1=?,19
17,12,17-12=?,5
8,4,8-4=?,4
3,1,3-1=?,2
9,7,9-7=?,2
10,8,10-8=?,2
13,8,13-8=?,5
10,9,10-9=?,1
14,8,14-8=?,6
5,2,5-2=?,3
5,1,5-1=?,4
16,9,16-9=?,7
2,1,2-1=?,1
4,3,4-3=?,1
17,12,17-12=?,5
20,14,20-14=?,6
2,1,2-1=?,1
15,3,15-3=?,12
13,5,13-5=?,8
16,2,16-2=?,14
3,2,3-2=?,1
2,1,2-1=?,1
14,13,14-13=?,1
20,10,20-10=?,10
4,2,4-2=?,2
7,5,7-5=?,2
15,7,15-7=?,8
15,13,15-13=?,2
16,7,16-7=?,9
16,1,16-1=?,15
14,10,14-10=?,4
7,3,7-3=?,4
6,4,6-4=?,2
20,13,20-13=?,7
2,1,2-1=?,1
4,3,4-3=?,1
15,13,15-13=?,2
16,6,16-6=?,10
2,1,2-1=?,1
7,4,7-4=?,3
15,11,15-11=?,4
14,7,14-7=?,7
17,6,17-6=?,11
2,1,2-1=?,1
14,6,14-6=?,8
6,1,6-1=?,5
14,8,14-8=?,6
10,4,10-4=?,6
12,8,12-8=?,4
3,1,3-1=?,2
10,8,10-8=?,2
11,6,11-6=?,5
20,13,20-13=?,7
7,5,7-5=?,2
14,4,14-4=?,10
9,8,9-8=?,1
14,4,14-4=?,10
11,4,11-4=?,7
15,10,15-10=?,5
8,5,8-5=?,3
8,2,8-2=?,6
10,5,10-5=?,5
17,13,17-13=?,4
10,2,10-2=?,8
12,7,12-7=?,5
12,8,12-8=?,4
19,9,19-9=?,10
18,5,18-5=?,13
12,6,12-6=?,6
18,8,18-8=?,10
5,2,5-2=?,3
15,1,15-1=?,14
12,8,12-8=?,4
18,14,18-14=?,4
16,14,16-14=?,2
7,2,7-2=?,5
7,2,7-2=?,5
17,4,17-4=?,13
20,14,20-14=?,6
15,3,15-3=?,12
11,1,11-1=?,10
13,12,13-12=?,1
2,1,2-1=?,1
18,17,18-17=?,1
9,8,9-8=?,1
19,3,19-3=?,16
11,9,11-9=?,2
2,1,2-1=?,1
2,1,2-1=?,1
18,5,18-5=?,13
19,7,19-7=?,12
12,6,12-6=?,6
13,10,13-10=?,3
5,4,5-4=?,1
9,2,9-2=?,7
18,6,18-6=?,12
5,3,5-3=?,2
12,8,12-8=?,4
2,1,2-1=?,1
9,8,9-8=?,1
15,11,15-11=?,4
17,7,17-7=?,10
11,9,11-9=?,2
12,1,12-1=?,11
17,13,17-13=?,4
3,2,3-2=?,1
8,1,8-1=?,7
4,1,4-1=?,3
7,4,7-4=?,3
2,1,2-1=?,1
16,10,16-10=?,6
17,6,17-6=?,11
5,1,5-1=?,4
9,8,9-8=?,1
19,2,19-2=?,17
16,7,16-7=?,9
8,7,8-7=?,1
4,3,4-3=?,1
2,1,2-1=?,1
19,15,19-15=?,4
3,2,3-2=?,1
4,3,4-3=?,1
11,2,11-2=?,9
20,5,20-5=?,15
19,18,19-18=?,1
19,17,19-17=?,2
11,3,11-3=?,8
7,2,7-2=?,5
18,1,18-1=?,17
11,4,11-4=?,7
4,3,4-3=?,1
14,6,14-6=?,8
3,2,3-2=?,1
20,1,20-1=?,19
11,4,11-4=?,7
16,13,16-13=?,3
12,6,12-6=?,6
14,7,14-7=?,7
8,5,8-5=?,3
7,3,7-3=?,4
6,5,6-5=?,1
12,8,12-8=?,4
19,7,19-7=?,12
7,2,7-2=?,5
20,16,20-16=?,4
11,5,11-5=?,6
12,7,12-7=?,5
5,4,5-4=?,1
18,14,18-14=?,4
6,2,6-2=?,4
14,4,14-4=?,10
9,8,9-8=?,1
12,5,12-5=?,7
4,2,4-2=?,2
2,1,2-1=?,1
10,8,10-8=?,2
20,12,20-12=?,8
5,4,5-4=?,1
8,1,8-1=?,7
4,2,4-2=?,2
6,2,6-2=?,4
7,3,7-3=?,4
3,1,3-1=?,2
12,5,12-5=?,7
6,4,6-4=?,2
3,2,3-2=?,1
17,7,17-7=?,10
4,1,4-1=?,3
8,6,8-6=?,2
14,3,14-3=?,11
7,4,7-4=?,3
10,2,10-2=?,8
16,8,16-8=?,8
5,3,5-3=?,2
16,1,16-1=?,15
9,1,9-1=?,8
4,2,4-2=?,2
3,1,3-1=?,2
11,1,11-1=?,10
10,4,10-4=?,6
12,5,12-5=?,7
3,2,3-2=?,1
10,7,10-7=?,3
10,6,10-6=?,4
19,9,19-9=?,10
5,1,5-1=?,4
18,6,18-6=?,12
5,1,5-1=?,4
8,1,8-1=?,7
16,10,16-10=?,6
7,2,7-2=?,5
6,1,6-1=?,5
17,7,17-7=?,10
16,2,16-2=?,14
3,1,3-1=?,2
7,1,7-1=?,6
7,2,7-2=?,5
9,6,9-6=?,3
3,2,3-2=?,1
7,2,7-2=?,5
11,1,11-1=?,10
17,3,17-3=?,14
9,1,9-1=?,8
11,5,11-5=?,6
12,3,12-3=?,9
5,2,5-2=?,3
6,3,6-3=?,3
2,1,2-1=?,1
10,7,10-7=?,3
20,3,20-3=?,17
4,3,4-3=?,1
16,15,16-15=?,1
14,9,14-9=?,5
8,6,8-6=?,2
17,6,17-6=?,11
10,3,10-3=?,7
5,3,5-3=?,2
