a,b,question,answer
,,1÷1=?,1
,,72÷8=?,9
,,64÷8=?,8
,,3÷1=?,3
,,20÷5=?,4
,,6÷3=?,2
,,15÷3=?,5
,,35÷5=?,7
,,27÷9=?,3
,,32÷8=?,4
,,9÷1=?,9
,,6÷2=?,3
,,9÷1=?,9
,,2÷2=?,1
,,10÷2=?,5
,,40÷8=?,5
,,12÷4=?,3
,,56÷8=?,7
,,16÷4=?,4
,,24÷4=?,6
,,14÷7=?,2
,,4÷4=?,1
,,18÷3=?,6
,,8÷2=?,4
,,36÷4=?,9
,,6÷6=?,1
,,28÷7=?,4
,,63÷7=?,9
,,6÷1=?,6
,,36÷6=?,6
,,56÷7=?,8
,,8÷8=?,1
,,14÷2=?,7
,,6÷3=?,2
,,4÷4=?,1
,,16÷4=?,4
,,4÷1=?,4
,,8÷4=?,2
,,30÷5=?,6
,,42÷7=?,6
,,18÷9=?,2
,,20÷4=?,5
,,72÷8=?,9
,,24÷4=?,6
,,21÷7=?,3
,,15÷3=?,5
,,72÷8=?,9
,,3÷3=?,1
,,9÷1=?,9
,,35÷7=?,5
,,35÷7=?,5
,,64÷8=?,8
,,12÷3=?,4
,,30÷5=?,6
,,12÷4=?,3
,,27÷3=?,9
,,14÷2=?,7
,,72÷9=?,8
,,32÷8=?,4
,,8÷1=?,8
,,2÷2=?,1
,,16÷4=?,4
,,24÷8=?,3
,,4÷4=?,1
,,24÷4=?,6
,,9÷3=?,3
,,12÷3=?,4
,,28÷7=?,4
,,45÷5=?,9
,,72÷9=?,8
,,14÷2=?,7
,,7÷1=?,7
,,12÷6=?,2
,,10÷2=?,5
,,14÷2=?,7
,,12÷3=?,4
,,12÷2=?,6
,,7÷1=?,7
,,15÷5=?,3
,,72÷8=?,9
,,72÷8=?,9
,,36÷9=?,4
,,81÷9=?,9
,,8÷8=?,1
,,18÷9=?,2
,,27÷3=?,9
,,32÷4=?,8
,,14÷2=?,7
,,40÷8=?,5
,,32÷8=?,4
,,24÷4=?,6
,,20÷4=?,5
,,14÷2=?,7
,,48÷8=?,6
,,14÷2=?,7
,,8÷2=?,4
,,54÷9=?,6
,,5÷5=?,1
,,36÷4=?,9
,,24÷4=?,6
,,42÷6=?,7
,,9÷1=?,9
,,15÷3=?,5
,,5÷5=?,1
,,16÷4=?,4
,,16÷8=?,2
,,36÷6=?,6
,,12÷6=?,2
,,6÷1=?,6
,,3÷3=?,1
,,24÷8=?,3
,,15÷5=?,3
,,28÷4=?,7
,,14÷7=?,2
,,32÷8=?,4
,,27÷3=?,9
,,21÷7=?,3
,,40÷8=?,5
,,63÷7=?,9
,,24÷3=?,8
,,10÷5=?,2
,,40÷8=?,5
,,27÷9=?,3
,,20÷4=?,5
,,18÷3=?,6
,,3÷1=?,3
,,20÷4=?,5
,,28÷7=?,4
,,18÷3=?,6
,,12÷4=?,3
,,16÷4=?,4
,,12÷6=?,2
,,35÷5=?,7
,,72÷8=?,9
,,24÷3=?,8
,,21÷3=?,7
,,63÷9=?,7
,,6÷1=?,6
,,2÷1=?,2
,,63÷7=?,9
,,40÷5=?,8
,,35÷5=?,7
,,4÷4=?,1
,,10÷2=?,5
,,16÷2=?,8
,,18÷2=?,9
,,4÷1=?,4
,,21÷7=?,3
,,8÷8=?,1
,,14÷7=?,2
,,49÷7=?,7
,,3÷3=?,1
,,63÷7=?,9
,,7÷1=?,7
,,6÷1=?,6
,,14÷2=?,7
,,3÷1=?,3
,,63÷7=?,9
,,3÷3=?,1
,,32÷4=?,8
,,6÷3=?,2
,,10÷2=?,5
