a,b,question,answer
5,4,5×4=?,20
7,8,7×8=?,56
2,4,2×4=?,8
4,2,4×2=?,8
8,6,8×6=?,48
2,6,2×6=?,12
6,9,6×9=?,54
4,2,4×2=?,8
3,5,3×5=?,15
4,7,4×7=?,28
8,3,8×3=?,24
8,5,8×5=?,40
8,9,8×9=?,72
8,2,8×2=?,16
4,9,4×9=?,36
5,2,5×2=?,10
2,6,2×6=?,12
5,5,5×5=?,25
2,4,2×4=?,8
9,2,9×2=?,18
7,7,7×7=?,49
2,8,2×8=?,16
8,7,8×7=?,56
9,4,9×4=?,36
6,6,6×6=?,36
7,7,7×7=?,49
5,8,5×8=?,40
4,7,4×7=?,28
6,3,6×3=?,18
9,2,9×2=?,18
4,5,4×5=?,20
8,7,8×7=?,56
5,7,5×7=?,35
5,6,5×6=?,30
3,5,3×5=?,15
7,9,7×9=?,63
5,7,5×7=?,35
7,7,7×7=?,49
7,3,7×3=?,21
6,6,6×6=?,36
4,8,4×8=?,32
5,5,5×5=?,25
8,7,8×7=?,56
4,5,4×5=?,20
7,2,7×2=?,14
5,8,5×8=?,40
2,2,2×2=?,4
3,4,3×4=?,12
4,4,4×4=?,16
5,3,5×3=?,15
9,2,9×2=?,18
9,8,9×8=?,72
3,7,3×7=?,21
8,6,8×6=?,48
6,8,6×8=?,48
3,8,3×8=?,24
9,6,9×6=?,54
5,5,5×5=?,25
7,3,7×3=?,21
2,7,2×7=?,14
2,6,2×6=?,12
3,6,3×6=?,18
4,7,4×7=?,28
7,5,7×5=?,35
7,2,7×2=?,14
5,9,5×9=?,45
9,5,9×5=?,45
6,8,6×8=?,48
9,9,9×9=?,81
3,4,3×4=?,12
4,7,4×7=?,28
5,3,5×3=?,15
2,5,2×5=?,10
4,6,4×6=?,24
9,7,9×7=?,63
8,8,8×8=?,64
9,2,9×2=?,18
2,4,2×4=?,8
3,4,3×4=?,12
2,5,2×5=?,10
8,7,8×7=?,56
4,4,4×4=?,16
8,4,8×4=?,32
8,3,8×3=?,24
2,6,2×6=?,12
4,8,4×8=?,32
4,9,4×9=?,36
3,8,3×8=?,24
4,4,4×4=?,16
6,7,6×7=?,42
2,9,2×9=?,18
5,4,5×4=?,20
5,5,5×5=?,25
8,3,8×3=?,24
3,8,3×8=?,24
4,5,4×5=?,20
2,5,2×5=?,10
4,5,4×5=?,20
3,2,3×2=?,6
8,8,8×8=?,64
4,8,4×8=?,32
6,4,6×4=?,24
5,3,5×3=?,15
4,7,4×7=?,28
9,6,9×6=?,54
5,4,5×4=?,20
8,6,8×6=?,48
6,8,6×8=?,48
3,8,3×8=?,24
2,7,2×7=?,14
5,8,5×8=?,40
4,5,4×5=?,20
5,3,5×3=?,15
3,6,3×6=?,18
4,7,4×7=?,28
4,4,4×4=?,16
5,5,5×5=?,25
8,4,8×4=?,32
6,8,6×8=?,48
6,5,6×5=?,30
4,8,4×8=?,32
3,4,3×4=?,12
2,9,2×9=?,18
7,7,7×7=?,49
4,2,4×2=?,8
8,3,8×3=?,24
3,2,3×2=?,6
8,2,8×2=?,16
2,5,2×5=?,10
5,3,5×3=?,15
7,3,7×3=?,21
6,6,6×6=?,36
5,3,5×3=?,15
7,8,7×8=?,56
4,9,4×9=?,36
2,7,2×7=?,14
3,9,3×9=?,27
5,6,5×6=?,30
3,3,3×3=?,9
8,2,8×2=?,16
4,7,4×7=?,28
8,9,8×9=?,72
5,5,5×5=?,25
9,5,9×5=?,45
5,6,5×6=?,30
9,7,9×7=?,63
8,3,8×3=?,24
