a,b,question,answer
,,267÷3=?,89
,,88÷8=?,11
,,468÷9=?,52
,,686÷7=?,98
,,117÷9=?,13
,,224÷4=?,56
,,261÷9=?,29
,,396÷9=?,44
,,630÷7=?,90
,,312÷8=?,39
,,438÷6=?,73
,,415÷5=?,83
,,378÷7=?,54
,,180÷5=?,36
,,120÷2=?,60
,,329÷7=?,47
,,56÷4=?,14
,,441÷7=?,63
,,162÷9=?,18
,,492÷6=?,82
,,160÷5=?,32
,,266÷7=?,38
,,180÷5=?,36
,,99÷3=?,33
,,259÷7=?,37
,,161÷7=?,23
,,513÷9=?,57
,,288÷6=?,48
,,616÷8=?,77
,,480÷8=?,60
,,72÷2=?,36
,,72÷2=?,36
,,192÷2=?,96
,,222÷3=?,74
,,490÷5=?,98
,,114÷2=?,57
,,476÷7=?,68
,,336÷8=?,42
,,216÷9=?,24
,,165÷5=?,33
,,640÷8=?,80
,,68÷2=?,34
,,672÷7=?,96
,,195÷3=?,65
,,365÷5=?,73
,,84÷4=?,21
,,256÷8=?,32
,,455÷7=?,65
,,216÷6=?,36
,,324÷4=?,81
,,48÷2=?,24
,,168÷3=?,56
,,350÷5=?,70
,,729÷9=?,81
,,330÷6=?,55
,,192÷4=?,48
,,637÷7=?,91
,,96÷2=?,48
,,22÷2=?,11
,,170÷2=?,85
,,204÷3=?,68
,,124÷2=?,62
,,76÷2=?,38
,,245÷7=?,35
,,162÷9=?,18
,,279÷9=?,31
,,275÷5=?,55
,,72÷4=?,18
,,342÷6=?,57
,,180÷9=?,20
,,88÷4=?,22
,,176÷2=?,88
,,294÷6=?,49
,,32÷2=?,16
,,78÷2=?,39
,,335÷5=?,67
,,132÷3=?,44
,,58÷2=?,29
,,72÷6=?,12
,,387÷9=?,43
,,96÷8=?,12
,,240÷5=?,48
,,288÷3=?,96
,,146÷2=?,73
,,178÷2=?,89
,,245÷5=?,49
,,126÷9=?,14
,,639÷9=?,71
,,658÷7=?,94
,,581÷7=?,83
,,560÷8=?,70
,,58÷2=?,29
,,123÷3=?,41
,,198÷3=?,66
,,224÷8=?,28
,,511÷7=?,73
,,651÷7=?,93
,,360÷9=?,40
,,252÷9=?,28
,,456÷6=?,76
,,96÷6=?,16
,,368÷8=?,46
,,385÷7=?,55
,,405÷9=?,45
,,420÷5=?,84
,,534÷6=?,89
,,513÷9=?,57
,,276÷4=?,69
,,64÷4=?,16
,,168÷3=?,56
,,291÷3=?,97
,,118÷2=?,59
,,132÷3=?,44
,,183÷3=?,61
,,198÷3=?,66
,,168÷3=?,56
,,432÷8=?,54
,,136÷8=?,17
,,147÷3=?,49
,,180÷3=?,60
,,512÷8=?,64
,,490÷5=?,98
,,80÷8=?,10
,,32÷2=?,16
,,96÷2=?,48
,,120÷3=?,40
,,144÷3=?,48
,,472÷8=?,59
,,272÷8=?,34
,,265÷5=?,53
,,504÷9=?,56
,,245÷7=?,35
,,305÷5=?,61
,,297÷9=?,33
,,400÷5=?,80
,,552÷8=?,69
,,164÷4=?,41
,,360÷4=?,90
,,320÷4=?,80
,,200÷8=?,25
,,410÷5=?,82
,,145÷5=?,29
,,84÷3=?,28
,,756÷9=?,84
,,711÷9=?,79
,,159÷3=?,53
,,292÷4=?,73
,,672÷7=?,96
,,351÷9=?,39
,,608÷8=?,76
,,356÷4=?,89
,,216÷4=?,54
,,90÷3=?,30
,,264÷8=?,33
,,315÷5=?,63
,,873÷9=?,97
,,188÷2=?,94
,,95÷5=?,19
,,228÷6=?,38
,,116÷4=?,29
,,190÷5=?,38
,,54÷2=?,27
,,252÷9=?,28
,,119÷7=?,17
,,420÷6=?,70
,,510÷6=?,85
,,152÷4=?,38
,,225÷3=?,75
,,312÷4=?,78
,,261÷9=?,29
,,288÷8=?,36
,,702÷9=?,78
,,330÷5=?,66
,,343÷7=?,49
,,220÷5=?,44
,,390÷5=?,78
,,608÷8=?,76
,,368÷8=?,46
,,396÷6=?,66
,,440÷5=?,88
,,290÷5=?,58
,,270÷6=?,45
,,544÷8=?,68
,,608÷8=?,76
,,288÷6=?,48
,,438÷6=?,73
,,240÷3=?,80
,,136÷4=?,34
,,96÷8=?,12
,,348÷4=?,87
,,162÷9=?,18
,,260÷4=?,65
,,154÷2=?,77
,,175÷7=?,25
,,175÷5=?,35
,,584÷8=?,73
,,324÷9=?,36
,,148÷4=?,37
,,215÷5=?,43
,,164÷2=?,82
,,172÷2=?,86
,,138÷2=?,69
,,288÷8=?,36
,,438÷6=?,73
,,220÷4=?,55
,,140÷7=?,20
,,413÷7=?,59
,,774÷9=?,86
,,704÷8=?,88
,,52÷4=?,13
,,69÷3=?,23
,,204÷4=?,51
,,608÷8=?,76
,,180÷2=?,90
,,48÷2=?,24
,,534÷6=?,89
,,574÷7=?,82
,,160÷8=?,20
,,60÷6=?,10
,,102÷2=?,51
,,366÷6=?,61
,,162÷2=?,81
,,280÷8=?,35
,,177÷3=?,59
,,171÷9=?,19
,,267÷3=?,89
,,546÷6=?,91
,,378÷6=?,63
,,203÷7=?,29
,,84÷7=?,12
,,448÷8=?,56
,,186÷6=?,31
,,348÷6=?,58
,,132÷6=?,22
,,234÷6=?,39
,,104÷8=?,13
,,522÷9=?,58
,,188÷4=?,47
,,504÷8=?,63
,,92÷2=?,46
,,265÷5=?,53
,,310÷5=?,62
,,102÷3=?,34
,,711÷9=?,79
,,246÷6=?,41
,,102÷3=?,34
,,280÷5=?,56
,,228÷3=?,76
,,164÷4=?,41
,,426÷6=?,71
,,129÷3=?,43
,,308÷7=?,44
,,66÷6=?,11
,,672÷8=?,84
,,116÷4=?,29
,,498÷6=?,83
,,26÷2=?,13
,,400÷5=?,80
,,114÷6=?,19
,,106÷2=?,53
,,158÷2=?,79
,,376÷8=?,47
,,301÷7=?,43
,,285÷3=?,95
,,335÷5=?,67
,,375÷5=?,75
,,308÷4=?,77
,,260÷5=?,52
,,288÷9=?,32
,,90÷5=?,18
,,400÷5=?,80
,,248÷8=?,31
,,72÷2=?,36
,,594÷6=?,99
,,145÷5=?,29
,,315÷9=?,35
,,351÷9=?,39
,,180÷3=?,60
,,675÷9=?,75
,,102÷6=?,17
,,168÷3=?,56
,,306÷9=?,34
,,472÷8=?,59
,,228÷4=?,57
,,88÷4=?,22
,,30÷2=?,15
,,70÷2=?,35
,,365÷5=?,73
,,252÷9=?,28
,,98÷2=?,49
,,108÷3=?,36
,,294÷7=?,42
,,234÷6=?,39
,,252÷6=?,42
,,495÷9=?,55
,,630÷9=?,70
,,171÷3=?,57
,,256÷8=?,32
,,312÷6=?,52
,,365÷5=?,73
